TranscriptID;ICR_expectedCount;ICR_TPM;ICR2_expectedCount;ICR2_TPM;ICR3_expectedCount;ICR3_TPM;ICR4_expectedCount;ICR4_TPM
MCU_012127-RA;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.66
MCU_012128-RA;31.00;2.24;52.00;3.10;46.00;3.32;27.00;2.37
MCU_012129-RA;3.00;1.60;3.00;1.29;13.00;6.91;0.00;0.00
MCU_012130-RA;344.00;16.05;704.00;27.17;566.00;26.38;290.00;16.51
MCU_012131-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012132-RA;54.00;5.44;52.00;4.32;86.00;8.66;28.00;3.42
MCU_012133-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012134-RA;114.00;3.86;54.00;1.51;273.00;9.24;38.00;1.57
MCU_012136-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012137-RA;86.00;6.92;108.00;7.18;74.00;5.95;67.00;6.55
MCU_012138-RA;21.15;0.96;1520.25;57.28;3.34;0.15;418.19;23.24
MCU_012138-RB;4140.85;94.44;4159.75;78.62;7376.66;168.14;1957.81;54.64
MCU_012139-RA;1809.00;133.35;2425.00;147.60;1605.00;118.19;1603.00;143.68
MCU_012140-RA;40.00;4.00;74.00;6.10;82.00;8.19;40.00;4.85
MCU_012141-RA;3.00;1.39;1.00;0.37;0.00;0.00;0.00;0.00
MCU_012142-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012143-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012144-RA;6.00;0.94;1.00;0.13;38.00;5.93;0.00;0.00
MCU_012145-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012146-RA;155.00;12.83;94.00;6.42;236.84;19.57;81.86;8.23
MCU_012149-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012150-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012151-RA;0.00;0.00;0.00;0.00;1.00;4.01;0.00;0.00
MCU_012152-RA;2331.00;305.92;2977.00;321.26;2522.00;330.47;2138.00;338.71
MCU_012153-RA;251.00;282.26;374.00;335.13;275.00;307.27;220.00;280.61
MCU_012154-RA;1.00;0.28;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012155-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012156-RA;119.00;4.00;119.00;3.31;256.00;8.60;60.00;2.46
