TranscriptID B1_expectedCount B1_TPM B2_expectedCount B2_TPM B3_expectedCount B3_TPM B4_expectedCount B4_TPM
MCOS_0000070301-mRNA-1 13018.00 8603.59 5425.00 4129.89 6216.00 6914.73 5022.00 4282.64
MCOS_0000070801-mRNA-1 0.00 0.00 0.00 0.00 1.18 0.26 2.65 0.44
MCOS_0000071301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000072001-mRNA-1 0.00 0.00 3.55 1.00 1.70 0.71 0.00 0.00
MCOS_0000072301-mRNA-1 1.00 0.14 9.00 1.38 4.00 0.92 10.00 1.71
MCOS_0000073401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000073701-mRNA-1 131.00 9.97 147.00 12.13 72.00 8.88 146.00 13.33
MCOS_0000073801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000074401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000074701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000075101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000077201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000078801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000079001-mRNA-1 472.58 29.58 582.36 39.44 280.96 28.45 496.68 37.21
MCOS_0000079301-mRNA-1 0.00 0.00 4.06 0.95 2.02 0.71 0.00 0.00
MCOS_0000081101-mRNA-1 3.00 0.40 20.00 2.89 0.00 0.00 17.00 2.72
MCOS_0000081601-mRNA-1 369.00 102.06 228.00 70.46 299.00 136.85 245.00 84.49
MCOS_0000082401-mRNA-1 0.00 0.00 1.00 0.40 0.00 0.00 0.00 0.00
MCOS_0000082701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000084201-mRNA-1 11.00 0.82 212.00 17.22 66.00 8.01 185.00 16.63
MCOS_0000084301-mRNA-1 703.00 49.31 1137.00 86.39 482.00 54.75 925.00 77.78
MCOS_0000085701-mRNA-1 11.68 1.18 21.02 2.31 0.00 0.00 57.34 6.98
MCOS_0000087001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000087501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000087801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
