"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IV1","IV2","IV3","IV4","B1","B2","B3","B4"
"33","MCU_006635-RC",413.829513102854,-2.59997869081079,0.235807943594568,-11.0258316627408,2.86854621837401e-28,1.27650306717644e-25,98.8836839918481,103.531913461335,142.205124226064,124.657599707507,733.619167531028,581.360551348502,949.780810725446,576.597253831099
"34","MCU_003732-RA",153.375924147651,-1.7100276021273,0.158257037696754,-10.8053810877213,3.2460630926666e-27,1.40201283870026e-24,70.8812248083159,81.2190010774263,59.2521350941933,74.3151075179371,229.327298092903,232.158361766382,256.582577225829,223.271687598222
"35","MCU_007892-RA",21698.589106825,-1.85461768542014,0.172501329959877,-10.7513239802355,5.84170070940082e-27,2.45101071193003e-24,9160.30446041297,9241.11579291947,9809.78348619464,9388.87479335486,41358.7788849141,28541.3303422543,39485.3652267859,26603.1598677639
"36","MCU_014072-RA",216.338404200297,-2.90898861838623,0.274171137934476,-10.6101197970789,2.67405996829111e-26,1.09079362873208e-23,57.7550720660352,33.9156268235406,63.9923059017287,47.9452306567336,464.359255342346,340.198818211679,432.362906375016,290.178018225299
"37","MCU_006997-RA",1350.16455560263,-1.62659527721376,0.154737965029645,-10.5119340098736,7.61163505269709e-26,3.02099623645559e-23,703.561786986246,705.980547826859,711.025621130319,520.20575262556,1731.93451992551,2185.88994915217,2285.14427893943,1957.57398823492
"38","MCU_013603-RA",117.100441046099,-3.88127443549292,0.384316284564568,-10.0991672520211,5.57132656766766e-24,2.15302449068946e-21,15.7513832907369,16.065296916414,16.5905978263741,10.7876768977651,304.628798959229,232.801459721413,216.890244837303,123.288069919557
"39","MCU_008959-RA",587.72664259016,-2.28739684598886,0.227480619537735,-10.0553482342236,8.70132520250445e-24,3.27638360509687e-21,232.770441963111,195.461112483037,164.720935561857,204.965861057536,1283.54831022147,779.434721498213,1068.85780789102,772.053950045031
"40","MCU_006511-RA",638.231535627504,-0.900131999612945,0.0903204644313815,-9.96598063661193,2.14744054973978e-23,7.88379111823216e-21,464.665807076737,436.440566229247,462.166653734707,417.123506713582,910.463601383764,822.522284485325,789.593897871751,802.87596752492
"41","MCU_010505-RA",47.019278899621,-5.16895665013404,0.519845363203083,-9.94325816101343,2.69853488640634e-23,9.66536214801882e-21,2.62523054845614,1.78503299071267,4.74017080753546,1.19863076641834,102.683864817718,94.5353993896347,83.6374146758229,84.9484872006704
"42","MCU_011847-RA",406.666488601088,-1.99340791752566,0.201664883721999,-9.88475475122203,4.84767343536487e-23,1.6949543904365e-20,162.764294004281,181.180848557336,159.980764754322,147.431584269456,823.752782204358,533.771302676169,714.46198299347,529.988349349315
"43","MCU_012212-RA",2009.12550693731,-7.15702809953252,0.7288250551159,-9.8199534295571,9.23862157251202e-23,3.15509669284509e-20,8.75076849485381,47.3033742538856,47.4017080753546,8.39041536492838,948.114351816927,7161.5388272311,3259.02400575791,4592.4806045035
"44","MCU_011041-RA",85.9960153352583,-3.34575723164329,0.341374756158448,-9.80083375025645,1.11660134507966e-22,3.72665698920338e-20,16.6264601402222,15.1727804210577,21.3307686339096,8.39041536492838,108.388523974258,178.138133543733,171.527579250416,168.393461353541
"45","MCU_008478-RB",381.000603570694,-2.76937430881986,0.283387354268868,-9.77239904005165,1.47907501680326e-22,4.82671480483462e-20,95.3833765939065,85.6815835542079,99.5435869582447,110.274030510487,423.285709415259,869.468435202627,534.428903945512,829.939202385311
"46","MCU_000419-RA",3006.66169069702,-2.19132083761165,0.22937581214007,-9.55340851839036,1.25497883740237e-21,4.00638352766387e-19,1073.71929431856,1355.73255644627,1144.75125001981,745.548336712208,3703.46472442568,5780.80751777841,4790.01396931535,5459.2558765599
"47","MCU_014238-RA",127.047226906678,-5.92794438341584,0.620796102360071,-9.5489394357981,1.31030753204411e-21,4.09401406554635e-19,7.87569164536843,5.35509897213799,2.37008540376773,0,127.784365106493,320.905879560733,317.538659108209,234.548035456718
"48","MCU_012543-RA",132.900028848651,-10.4577644721148,1.09551287918083,-9.5459986558392,1.3480248870735e-21,4.12411363889049e-19,0,0,0,0,229.327298092903,302.256038864818,369.989241193047,161.627652638444
"49","MCU_011015-RA",627.673405494981,1.56107682546281,0.164886368535951,9.46759176834224,2.86369582026837e-21,8.58232104502877e-19,828.697776462656,830.932857176746,977.660229054189,1114.72661276906,262.414321200834,309.973214325197,333.132075403701,363.850157567473
"50","MCU_000053-RA",17679.5989330444,1.08312404871399,0.114492579605991,9.46021176604981,3.07320178230615e-21,9.02599363463317e-19,21905.7987731675,24372.8404551907,24524.4587154866,25283.9173868285,9385.3052443394,11640.0729860707,11896.3590501611,12428.0388531105
"51","MCU_011421-RB",1593.59520447713,-0.715495361198832,0.0762164703116781,-9.38767379639729,6.13399675339669e-21,1.76623024163981e-18,1215.48174393519,1263.80335742457,1199.26321430647,1142.29512039668,1874.550998839,1982.6709953622,2158.9793652759,1911.71684027703
"52","MCU_008739-RB",9420.0450845201,-3.32095042594694,0.354775143251817,-9.36071900502274,7.9195902452451e-21,2.2365227452197e-18,1649.51986127994,2613.28829840334,1297.62175856283,1293.32259696539,20526.5045770618,11087.0087447436,24916.8616568973,11976.2331822467
"53","MCU_014191-RA",244.075761664219,-5.81164013729927,0.630644498810346,-9.21539813359571,3.10125254562666e-20,8.59281011934481e-18,19.2516906886784,8.03264845820699,0,5.9931538320917,479.191369149349,506.118090609813,589.714652629531,344.30448794608
"54","MCU_002070-RA",173.515679656983,-6.71760102440233,0.74383264114989,-9.03106512510341,1.70008873636672e-19,4.62329686917506e-17,7.00061479588305,0,4.74017080753546,1.19863076641834,336.574890235852,212.222325160404,616.648735321745,209.740070168027
"55","MCU_002840-RB",7530.31669620786,-0.925549510159934,0.103356234234707,-8.95494613375853,3.39901544107581e-19,8.95768200518536e-17,4991.43834946461,5275.66500405128,5325.58190226609,5182.8794339929,11550.7938601619,8981.50603997033,9806.84126656513,9127.82771319062
"56","MCU_006711-RA",40.8763772879685,-4.96913062423813,0.554937414655934,-8.95439826726953,3.41593593660456e-19,8.95768200518536e-17,3.50030739794152,2.677549486069,3.5551281056516,0,91.274546504638,63.0235995930898,89.3077478741837,73.6721393421743
"57","MCU_003883-RC",751.112524881441,-2.05077440573762,0.229586320458722,-8.93247647176932,4.16576991231799e-19,1.07323388004193e-16,343.905201847755,290.067860990808,343.662383546321,189.383661094098,1137.50903581405,1261.75818777186,1436.01188248489,1006.60198550175
"58","MCU_004199-RA",2553.38058957694,-0.884972072119868,0.100413172356078,-8.81330657477532,1.21507669934178e-18,3.0764485051438e-16,2085.30813232366,1765.39762781483,1687.50080748262,1634.93236539462,3201.45471865018,3299.73560726677,3291.62842164849,3461.08703603439
