"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IV1","IV2","IV3","IV4","ICR1","ICR2","ICR3","ICR4"
"72","MCU_010797-RA",238.826149137514,-3.84223563805085,0.429199226751724,-8.95210288967609,3.48773649051838e-19,6.91249996106907e-17,33.5622046814006,48.625538818836,17.1345414616791,24.1818368051736,640.594461854162,532.173127934073,235.688092722544,378.649388822241
"73","MCU_011986-RA",253.424971367958,-4.28662587067522,0.480576839190418,-8.91975126786486,4.67336617049744e-19,9.13547058260253e-17,19.0488188732274,14.679407945309,36.716874560741,29.2727498167891,601.028333327876,504.686424052256,648.907476067263,173.059686300199
"74","MCU_000186-RA",98.2851012036708,-5.98724014756993,0.67263126151828,-8.90122194745362,5.52351823467014e-19,1.06514331363166e-16,0,1.83492599316362,7.3433749121482,3.81818475871163,102.683524032505,180.190614336358,264.00127269246,226.40891290402
"75","MCU_004653-RA",132.755332521817,-2.98971779584147,0.339289555944955,-8.81170004633596,1.23262078455145e-18,2.34526647940657e-16,34.4692912944114,25.6889639042907,34.2690829233583,24.1818368051736,130.945044408424,247.380334936355,289.253568341303,275.85453756122
"76","MCU_009252-RB",48258.584055654,0.277881701614312,0.0317431166327846,8.75407745335608,2.05779747612038e-18,3.86378552424183e-16,52523.0361531659,51724.7288212894,53937.0887297285,53389.6774810647,44268.8455168394,42844.1361562304,44349.1529280121,43032.0066589015
"77","MCU_010902-RA",233.035677467631,-4.48020841703092,0.512742780617301,-8.73773085919826,2.37839306473118e-18,4.40774922515765e-16,36.2834645204331,7.33970397265449,22.0301247364446,14.0000107819426,212.903453498589,459.638770468166,522.645997823043,589.443893939777
"78","MCU_006139-RA",87.1958463485996,-5.74575167125677,0.661487732931529,-8.68610464746368,3.75079407110229e-18,6.86202966597816e-16,5.44251967806496,0,3.6716874560741,3.81818475871163,80.0743077317703,243.562737174992,190.540048986732,170.457285002452
"79","MCU_008080-RA",504.364176838697,0.807132266766509,0.0931117493629429,8.66842554552773,4.38136531226796e-18,7.91418772228656e-16,628.611022816503,616.535133702977,680.4860751924,646.545952475169,367.399764886946,380.996256584078,386.436645535339,327.902563516167
"80","MCOS_0000883601-mRNA-1",360.322931546897,-5.69638188263243,0.657458007687915,-8.66425203742657,4.54486924316488e-18,8.10691051249535e-16,14.5133858081732,1.83492599316362,15.9106456429878,22.9091085522698,311.818774814305,1206.36089259087,926.682728204546,382.552990768862
"81","MCU_002071-RB",489.73827029608,-6.33213340263666,0.735077744751731,-8.61423631424905,7.04093322727133e-18,1.24042119942175e-15,31.7480314553789,4.58731498290906,11.0150623682223,0,829.946648372819,921.568099593151,929.743612525618,1189.29739307054
"82","MCU_010424-RA",226.123235291361,-1.82193361276989,0.212750060423714,-8.56372782758,1.09275623179115e-17,1.90166236922679e-15,109.75748017431,83.4891326889448,78.3293323962475,127.272825290388,315.586977531095,332.131005238625,338.227717478455,424.19141153282
"83","MCU_011561-RA",554.708490858204,-1.06177682021454,0.124750179977071,-8.51122475662715,1.72105660241133e-17,2.95897321884455e-15,326.551180683898,368.820124625888,312.093433766299,431.454877734414,760.234898112219,762.756032720429,748.386216502103,727.371162720387
"84","MCU_002250-RA",5476.4878719716,-1.22805793006324,0.144701218126401,-8.48685274363407,2.12308519021444e-17,3.60671734099525e-15,3588.43464107083,3445.99101516128,3628.8511024199,2442.36551732254,7126.61338812756,7704.67580198383,8206.99608587429,7667.97542381259
"85","MCU_007046-RA",14917.7711453365,-1.08461169134661,0.127850239473208,-8.48345451534254,2.18604694887678e-17,3.66998705417313e-15,9305.80156287807,9464.54827273797,9480.29701158333,9990.91678529542,19316.7491769406,24709.0197506492,16729.263256819,20345.5733457889
