"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1","B2","B3","B4","ICR1","ICR2","ICR3","ICR4"
"20","MCU_004110-RA",1188.14862544262,2.81963289782217,0.664122371491711,4.24565263701158,2.17958073201253e-05,0.0154673946647269,1934.25696707899,2736.79832175477,1261.35344938718,2391.75215179202,138.250966395374,180.111950768118,80.3004379265175,782.364758438003
"21","MCU_010551-RA",44.1938762482328,1.14435499477679,0.274280074344784,4.17221337536273,3.01654943123101e-05,0.0203875647987913,59.1092831292019,51.1949802978289,61.3797298971862,71.1978833693712,26.4735893097525,22.7097677055453,29.4981200546391,31.9876562223374
"22","MCU_012951-RA",136.541614155049,-1.23179291721284,0.297075617750166,-4.14639520584536,3.37750654976701e-05,0.0217895229367469,88.0351025328539,66.1268495513623,73.6556758766234,97.6901190416954,134.3289531643,162.100755691306,195.834741473854,274.560715908396
"23","MCU_004157-RB",2912.13302410555,-0.821469131525692,0.201564592499187,-4.07546345982867,4.59227932411179e-05,0.0271575918529661,1938.02990004468,2650.7623131987,2040.87601908144,1786.57014315236,3916.13021122784,2924.86146138661,3381.63170737487,4658.20243737789
"24","MCU_011594-RA",1291.88573361642,-0.712101712309477,0.174428705064621,-4.0824800714175,4.45576339824468e-05,0.0271575918529661,926.883865238762,1158.28642923838,767.246623714827,1061.34519162249,1819.81413921855,1424.45060194437,1746.94422101362,1430.11479694034
"25","MCU_000341-RA",62.7241156503327,-1.64658798037702,0.406577599474745,-4.04987383098389,5.12452543756496e-05,0.0284696331685381,13.834087540877,40.5293594024479,27.6208784537338,38.082588778966,124.523920086614,72.0447803072471,106.520989086197,78.6363215465795
"26","MCU_011791-RA",13.4575933906958,7.25578177413776,1.79342774858441,4.04576196608138,5.21532066780801e-05,0.0284696331685381,71.685726348181,12.0877036814318,1.53449324742965,22.3528238485235,0,0,0,0
"27","MCU_000650-RA",38.1316411840426,-8.64973323017953,2.24540522025293,-3.85219253618961,0.000117064918359377,0.0593393709383798,0,0,0,0,0,14.0957178862005,216.319547067353,74.6378645187873
"28","MCU_007189-RA",156.501210408127,1.05066501077516,0.272502499711727,3.85561604714315,0.000115438552216865,0.0593393709383798,279.197039461337,162.828479002817,230.173987114448,173.027414234867,72.5572447748773,110.416456775237,106.520989086197,117.288072815237
"29","MCU_005734-RA",62.5051247744645,-2.13436571306072,0.561514410832616,-3.80108804312943,0.000144062097821221,0.070505977737124,17.6070205065708,19.9091590047112,35.293344690882,20.6970591190033,46.0836554651248,63.4307304879023,202.389879263774,94.6301496577482
"30","MCU_002950-RD",181.995506543185,0.696388474778324,0.184358460959807,3.7773610777221,0.000158498862266509,0.0749858117382856,187.389003962789,248.153446165865,262.398345310471,202.003297001472,127.46543000992,124.512174661438,150.768169168155,153.274186065367
"31","MCU_000743-RA",130.503725231345,-1.14322301888308,0.303940672074604,-3.76133608930913,0.000169008157793382,0.0773784768890799,89.2927468547518,83.9028843769973,59.8452366497565,91.0670601236144,223.554754171244,107.284075022748,206.486840382473,182.596204269176
"32","MCU_011120-RB",35.6317696787022,-1.41308945981372,0.377693997847468,-3.74136064609741,0.000183026654436172,0.0811780408253934,20.1223091503666,20.6202003977366,9.20695948457792,26.4922356723242,40.2006356185131,57.9490624210466,59.8156323330181,50.6471223520343
"33","MCU_006712-RA",160.388296108049,-1.13973084102538,0.310126959064634,-3.67504600200799,0.000237806562669483,0.0993169531829847,79.2315922795685,90.302256914226,102.811047577787,128.32176653782,187.276131783805,202.038623035541,331.85385061469,161.271100120951
"34","MCU_008637-RA",34.3161265042961,2.15716950120699,0.586996731215477,3.6749259177989,0.000237918439246212,0.0993169531829847,104.384478717527,34.8410282582447,52.1727704126082,32.2874122256451,12.746543000992,9.39714525746701,7.37453001365977,21.3251041482249
"35","MCU_011983-RA",16.2323566296476,1.81329240948943,0.505944323649848,3.58397619012397,0.000338402947354381,0.137227229480021,35.2140410131416,15.6429106465588,24.5518919588745,25.664353307564,8.82452976991752,7.04785894310026,4.91635334243984,7.99691405558436
"36","MCU_002121-RA",190.8285592816,0.785059904695109,0.220720889792421,3.55679929268781,0.000375400743760205,0.148001743227461,290.515838358418,196.958465868036,288.484730516775,191.24082625959,131.387443240994,126.861460975805,142.574246930755,158.605462102423
"37","MCU_011409-RA",124.297777994938,-0.647935106355869,0.183704965245672,-3.52704188201648,0.000420230284673531,0.161198065685714,76.7163036357727,105.945167560785,112.018007062365,92.7228248531346,162.76354908959,137.824797109516,159.781483629295,146.610091019047
"38","MCU_011829-RA",31.7527050285194,-1.56507441765454,0.447294751651438,-3.49897782586583,0.000467045420273306,0.17444146447208,8.80351025328539,11.3766622884064,15.3449324742965,28.1480004018444,44.1226488495876,52.4673943541908,52.4411023193583,41.3173892871858
"39","MCU_000245-RD",14.6351975575281,7.37943861518557,2.12386500808684,3.47453279143806,0.000511743811813028,0.184609250341104,38.9869739788353,18.4870762186604,0,59.6075302627294,0,0,0,0
"40","MCU_003024-RA",6.0278350004061,-5.97630519473759,1.72877247288405,-3.45696457369403,0.00054629666133491,0.184609250341104,0,0,0,0,7.8440264621489,2.34928631436675,7.37453001365977,30.6548372130734
"41","MCU_004106-RA",190.834527882752,3.1233315675215,0.901887300296901,3.46310627335954,0.000533977447710841,0.184609250341104,770.935969323421,59.7274770141337,359.071419898539,180.478355517708,29.4150992330584,85.3574027553254,37.6920422920388,3.99845702779218
"42","MCU_008547-RC",3.47297382844351,5.31312660215762,1.53478689282156,3.46180087086225,0.000536573998013363,0.184609250341104,3.77293296569374,7.11041393025401,6.13797298971862,10.7624707418817,0,0,0,0
"43","MCU_004132-RD",15.9048687602249,-7.38977273800936,2.1437312972113,-3.44715438339797,0.000566524747674606,0.186992691715016,0,0,0,0,28.4345959252898,25.059054019912,73.7453001365977,0
"44","MCU_013464-RA",13.8298982856862,7.29882319140864,2.12325822789566,3.43755794538586,0.000586985111980447,0.189342720325875,23.8952421160603,26.3085315419398,0,60.4354126274895,0,0,0,0
"45","MCU_010260-RC",13.8627161615381,-7.19196402491479,2.11534047232115,-3.39990848708297,0.000674084094383965,0.212606123368702,0,0,0,0,24.5125826942153,45.4195354110906,40.9696111869987,0
"46","MCU_009598-RB",15.1365262612891,-7.31601114490764,2.17519909423113,-3.36337540977767,0.000769955818609389,0.237564846380936,0,0,0,0,39.2201323107445,0,45.8859645294385,35.9861132501296
"47","MCU_002230-RA",545.997997013563,0.531727281239335,0.158944438432849,3.34536575473813,0.000821741281546413,0.244774590051509,701.765531619035,551.768120987711,724.280812786797,606.837773369176,370.630250336536,512.144416531952,436.736055253406,463.821015223893
"48","MCU_012751-RA",12.7555446014213,-2.76858524989178,0.828093885302932,-3.34332289976877,0.000827815142850167,0.244774590051509,2.51528864379583,2.1331241790762,7.67246623714827,1.65576472952026,9.80503307768613,37.5885810298681,28.6787278308991,11.9953710833765
"49","MCU_002245-RC",125.549183713524,-0.77741978204658,0.233057585811342,-3.33574116173973,0.000850723312840497,0.246414611819289,67.9127933824873,108.078291739861,95.1385813406385,96.8622366769353,180.412608629425,140.957178862005,131.102755798396,183.92902327844
"50","MCU_001115-RB",12.2907522215655,-6.28624312497783,1.91121190152194,-3.28913979657198,0.00100494095918738,0.285262540674928,0,0.711041393025401,0,0,53.9276819272737,29.7576266486455,13.9296678035796,0
"51","MCU_001280-RC",14.9768422869295,-7.30111887485407,2.22743706612581,-3.27781151974494,0.00104615223903301,0.291138014286188,0,0,0,0,19.6100661553723,0,65.5513778991979,34.6532942408655
"52","MCU_003466-RC",11.8786968835578,7.07949595993748,2.16697871620644,3.2669891526812,0.00108697845167224,0.296682407011233,0,47.6397733327019,18.4139189691558,28.9758827666046,0,0,0,0
